name,abbr,liver,kidney,smiles,inchikey,connectivity
galactosamine,GaN,True,False,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)N)O)O)O,MSWZFWKMSRAUBD-GASJEMHNSA-N,MSWZFWKMSRAUBD
gefitinib,GEF,True,False,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,XGALLCVXEZPNRQ-UHFFFAOYSA-N,XGALLCVXEZPNRQ
gemfibrozil,GFZ,True,False,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,HEMJJKBWTPKOJG-UHFFFAOYSA-N,HEMJJKBWTPKOJG
gentamicin,GMC,True,True,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC,CEAZRRDELHUEMR-UHFFFAOYSA-N,CEAZRRDELHUEMR
glibenclamide,GBC,True,False,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,ZNNLBTZKUZBEKO
griseofulvin,GF,True,False,C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,DDUHZTYCFQRHIY-RBHXEPJQSA-N,DDUHZTYCFQRHIY
haloperidol,HPL,True,False,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,LNEPOXFFQSENCJ-UHFFFAOYSA-N,LNEPOXFFQSENCJ
"hepatocyte growth factor, human",hHGF,False,False,,,
hexachlorobenzene,HCB,True,True,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl,CKAPSXZOOQJIBF-UHFFFAOYSA-N,CKAPSXZOOQJIBF
hydroxyzine,HYZ,True,False,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,ZQDWXGKKHFNSQK-UHFFFAOYSA-N,ZQDWXGKKHFNSQK
ibuprofen,IBU,True,False,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,HEFNNWSXXWATRW-UHFFFAOYSA-N,HEFNNWSXXWATRW
"imatinib, methanesulfonate salt",IMA,True,False,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O,KTUFNOKKBVMGRW-UHFFFAOYSA-N,KTUFNOKKBVMGRW
imipramine,IMI,True,True,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,BCGWQEUPMDMJNV-UHFFFAOYSA-N,BCGWQEUPMDMJNV
indomethacin,IM,True,True,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,CGIGDMFJXJATDK-UHFFFAOYSA-N,CGIGDMFJXJATDK
"interferon alpha, human",hIFNA,False,False,,,
"interleukin 1 beta, human",hIL1B,False,False,,,
"interleukin 6, human",hIL6,False,False,,,
iproniazid,IPA,True,False,CC(C)NNC(=O)C1=CC=NC=C1,NYMGNSNKLVNMIA-UHFFFAOYSA-N,NYMGNSNKLVNMIA
isoniazid,INAH,True,False,C1=CN=CC=C1C(=O)NN,QRXWMOHMRWLFEY-UHFFFAOYSA-N,QRXWMOHMRWLFEY
ketoconazole,KC,True,True,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OC[C@@H]3CO[C@@](O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,XMAYWYJOQHXEEK-ZEQKJWHPSA-N,XMAYWYJOQHXEEK
labetalol,LBT,True,False,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,SGUAFYQXFOLMHL-UHFFFAOYSA-N,SGUAFYQXFOLMHL
lomustine,LS,True,True,C1CCC(CC1)NC(=O)N(CCCl)N=O,GQYIWUVLTXOXAJ-UHFFFAOYSA-N,GQYIWUVLTXOXAJ
lornoxicam,LNX,True,False,CN1C(=C(C2=C(S1(=O)=O)C=C(S2)Cl)O)C(=O)NC3=CC=CC=N3,WLHQHAUOOXYABV-UHFFFAOYSA-N,WLHQHAUOOXYABV
LPS,LPS,True,False,,,
mefenamic acid,MEF,True,False,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,HYYBABOKPJLUIN-UHFFFAOYSA-N,HYYBABOKPJLUIN
meloxicam,MLX,True,False,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,ZRVUJXDFFKFLMG-UHFFFAOYSA-N,ZRVUJXDFFKFLMG
metformin,MFM,True,False,CN(C)C(=N)N=C(N)N,XZWYZXLIPXDOLR-UHFFFAOYSA-N,XZWYZXLIPXDOLR
methapyrilene,MP,True,False,CN(C)CCN(CC1=CC=CS1)C2=CC=CC=N2,HNJJXZKZRAWDPF-UHFFFAOYSA-N,HNJJXZKZRAWDPF
methimazole,MTZ,True,False,CN1C=CNC1=S,PMRYVIKBURPHAH-UHFFFAOYSA-N,PMRYVIKBURPHAH
methyldopa,MDP,True,False,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N,CJCSPKMFHVPWAR-JTQLQIEISA-N,CJCSPKMFHVPWAR
methylene dianiline,DAPM,True,False,C1=CC=C(C=C1)NCNC2=CC=CC=C2,OHQOKJPHNPUMLN-UHFFFAOYSA-N,OHQOKJPHNPUMLN
methyltestosterone,MTS,True,True,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C)O)C,GCKMFJBGXUYNAG-HLXURNFRSA-N,GCKMFJBGXUYNAG
mexiletine,MEX,True,False,CC1=C(C(=CC=C1)C)OCC(C)N,VLPIATFUUWWMKC-UHFFFAOYSA-N,VLPIATFUUWWMKC
monocrotaline,MCT,True,True,C[C@H]1C(=O)O[C@@H]2CCN3[C@@H]2C(=CC3)COC(=O)[C@]([C@]1(C)O)(C)O,QVCMHGGNRFRMAD-XFGHUUIASA-N,QVCMHGGNRFRMAD
moxisylyte,MXS,True,False,CC1=CC(=C(C=C1OC(=O)C)C(C)C)OCCN(C)C,VRYMTAVOXVTQEF-UHFFFAOYSA-N,VRYMTAVOXVTQEF
N-methyl-N-nitrosourea,MNU,True,False,CN(C(=O)N)N=O,ZRKWMRDKSOPRRS-UHFFFAOYSA-N,ZRKWMRDKSOPRRS
N-nitrosomorpholine,NMOR,True,False,C1COCCN1N=O,ZKXDGKXYMTYWTB-UHFFFAOYSA-N,ZKXDGKXYMTYWTB
naphthyl isothiocyanate,ANIT,True,False,C1=CC=C2C(=C1)C=CC=C2N=C=S,JBDOSUUXMYMWQH-UHFFFAOYSA-N,JBDOSUUXMYMWQH
naproxen,NPX,True,False,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,CMWTZPSULFXXJA-VIFPVBQESA-N,CMWTZPSULFXXJA
nefazodone,NZD,False,False,CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,VRBKIVRKKCLPHA-UHFFFAOYSA-N,VRBKIVRKKCLPHA
nicotinic acid,NIC,True,False,C1=CC(=CN=C1)C(=O)O,PVNIIMVLHYAWGP-UHFFFAOYSA-N,PVNIIMVLHYAWGP
nifedipine,NIF,True,False,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,HYIMSNHJOBLJNT-UHFFFAOYSA-N,HYIMSNHJOBLJNT
nimesulide,NIM,True,False,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,HYWYRSMBCFDLJT-UHFFFAOYSA-N,HYWYRSMBCFDLJT
nitrofurantoin,NFT,True,True,C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-],NXFQHRVNIOXGAQ-YCRREMRBSA-N,NXFQHRVNIOXGAQ
nitrofurazone,NFZ,True,False,C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=O)N,IAIWVQXQOWNYOU-FPYGCLRLSA-N,IAIWVQXQOWNYOU
nitrosodiethylamine,DEN,True,False,CCN(CC)N=O,WBNQDOYYEUMPFS-UHFFFAOYSA-N,WBNQDOYYEUMPFS
omeprazole,OPZ,True,True,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,SUBDBMMJDZJVOS-UHFFFAOYSA-N,SUBDBMMJDZJVOS
papaverine,PAP,True,False,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,XQYZDYMELSJDRZ-UHFFFAOYSA-N,XQYZDYMELSJDRZ
pemoline,PML,True,False,C1=CC=C(C=C1)C2C(=O)N=C(O2)N,NRNCYVBFPDDJNE-UHFFFAOYSA-N,NRNCYVBFPDDJNE
penicillamine,PEN,True,False,CC(C)([C@H](C(=O)O)N)S,VVNCNSJFMMFHPL-VKHMYHEASA-N,VVNCNSJFMMFHPL
