name,abbr,liver,kidney,smiles,inchikey,connectivity
theophylline,TEO,True,False,CN1C2=C(C(=O)N(C1=O)C)NC=N2,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,ZFXYFBGIUFBOJW
thioacetamide,TAA,True,True,CC(=S)N,YUKQRDCYNOVPGJ-UHFFFAOYSA-N,YUKQRDCYNOVPGJ
thioridazine,TRZ,True,False,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC,KLBQZWRITKRQQV-UHFFFAOYSA-N,KLBQZWRITKRQQV
ticlopidine,TCP,True,False,C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,PHWBOXQYWZNQIN-UHFFFAOYSA-N,PHWBOXQYWZNQIN
tiopronin,TIO,True,False,CC(C(=O)NCC(=O)O)S,YTGJWQPHMWSCST-UHFFFAOYSA-N,YTGJWQPHMWSCST
TNF¿,TNF,True,False,,,
tolbutamide,TLB,True,False,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,JLRGJRBPOGGCBT-UHFFFAOYSA-N,JLRGJRBPOGGCBT
transforming growth factor beta 1,TGFB1,False,False,,,
triamterene,TRI,True,True,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,FNYLWPVRPXGIIP-UHFFFAOYSA-N,FNYLWPVRPXGIIP
triazolam,TZM,True,False,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4Cl,JOFWLTCLBGQGBO-UHFFFAOYSA-N,JOFWLTCLBGQGBO
trimethadione,TMD,True,False,CC1(C(=O)N(C(=O)O1)C)C,IRYJRGCIQBGHIV-UHFFFAOYSA-N,IRYJRGCIQBGHIV
tunicamycin,TUN,True,False,,,
valproic acid,VPA,True,True,CCCC(CCC)C(=O)O,NIJJYAXOARWZEE-UHFFFAOYSA-N,NIJJYAXOARWZEE
venlafaxine,VLF,False,False,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,PNVNVHUZROJLTJ-UHFFFAOYSA-N,PNVNVHUZROJLTJ
vitamin A,VA,True,False,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C,FPIPGXGPPPQFEQ-OVSJKPMPSA-N,FPIPGXGPPPQFEQ
WY-14643,WY,True,False,CC1=C(C(=CC=C1)NC2=CC(=NC(=N2)SCC(=O)O)Cl)C,SZRPDCCEHVWOJX-UHFFFAOYSA-N,SZRPDCCEHVWOJX
