name,smiles,inchikey,connectivity
ACARBOSE,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)CO)O)O)N[C@H]3C=C([C@H]([C@@H]([C@H]3O)O)O)CO,CEMXHAPUFJOOSV-XGWNLRGSSA-N,CEMXHAPUFJOOSV
ACECLOFENAC,C1=CC=C(C(=C1)CC(=O)OCC(=O)O)NC2=C(C=CC=C2Cl)Cl,MNIPYSSQXLZQLJ-UHFFFAOYSA-N,MNIPYSSQXLZQLJ
ACEMETACIN,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,FSQKKOOTNAMONP-UHFFFAOYSA-N,FSQKKOOTNAMONP
ACETAMINOPHEN,CC(=O)NC1=CC=C(C=C1)O,RZVAJINKPMORJF-UHFFFAOYSA-N,RZVAJINKPMORJF
ACETAZOLAMIDE,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,BZKPWHYZMXOIDC-UHFFFAOYSA-N,BZKPWHYZMXOIDC
ACETONE,CC(=O)C,CSCPPACGZOOCGX-UHFFFAOYSA-N,CSCPPACGZOOCGX
ACONITINE,CCN1C[C@@]2([C@@H](C[C@@H]([C@@]34[C@@H]2[C@H]([C@@H](C31)[C@@]5([C@@H]6[C@H]4C[C@@]([C@@H]6OC(=O)C7=CC=CC=C7)([C@H]([C@@H]5O)OC)O)OC(=O)C)OC)OC)O)COC,XFSBVAOIAHNAPC-XTHSEXKGSA-N,XFSBVAOIAHNAPC
ACROLEIN,C=CC=O,HGINCPLSRVDWNT-UHFFFAOYSA-N,HGINCPLSRVDWNT
ACYCLOVIR,C1=NC2=C(N1COCCO)N=C(NC2=O)N,MKUXAQIIEYXACX-UHFFFAOYSA-N,MKUXAQIIEYXACX
AFLATOXIN B1,COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4[C@@H]5C=CO[C@@H]5OC4=C1,OQIQSTLJSLGHID-WNWIJWBNSA-N,OQIQSTLJSLGHID
ALBENDAZOLE,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,HXHWSAZORRCQMX-UHFFFAOYSA-N,HXHWSAZORRCQMX
ALDOSTERONE,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C=O)O,PQSUYGKTWSAVDQ-ZVIOFETBSA-N,PQSUYGKTWSAVDQ
ALENDRONIC ACID,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,OGSPWJRAVKPPFI-UHFFFAOYSA-N,OGSPWJRAVKPPFI
ALFACALCIDOL,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C,OFHCOWSQAMBJIW-AVJTYSNKSA-N,OFHCOWSQAMBJIW
ALLOPURINOL,C1=NNC2=C1C(=O)NC=N2,OFCNXPDARWKPPY-UHFFFAOYSA-N,OFCNXPDARWKPPY
ALLYL ALCOHOL,C=CCO,XXROGKLTLUQVRX-UHFFFAOYSA-N,XXROGKLTLUQVRX
ALLYLAMINE,C=CCN,VVJKKWFAADXIJK-UHFFFAOYSA-N,VVJKKWFAADXIJK
