sample,title,compound,dose,time,vehicle,tissue,is_control,connectivity,in_cohort,in_labelled,dataset
GSM1392188,R030916-016_ORAL GAVAGE_CMC_3 d_Male_92992.CEL,,0 mg/kg,3 d,CMC,Liver,True,,False,False,drugmatrix_liver
GSM1392189,R030916-017_ORAL GAVAGE_CMC_3 d_Male_92993.CEL,,0 mg/kg,3 d,CMC,Liver,True,,False,False,drugmatrix_liver
GSM1392190,R030916-018_ORAL GAVAGE_CMC_3 d_Male_92994.CEL,,0 mg/kg,3 d,CMC,Liver,True,,False,False,drugmatrix_liver
GSM1392191,S020506-018_ORAL GAVAGE_CMC_3 d_Male_94109.CEL,,0 mg/kg,3 d,CMC,Liver,True,,False,False,drugmatrix_liver
GSM1392192,S020422-136_LORAZEPAM_2000 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94110.CEL,Lorazepam,2000 mg/kg,1 d,CMC,Liver,False,DIWRORZWFLOCLC,True,True,drugmatrix_liver
GSM1392193,S021028-047_CLOMIPHENE_250 mg/kg_ORAL GAVAGE_CMC_5 d_Male_94111.CEL,Clomiphene,250 mg/kg,5 d,CMC,Liver,False,GKIRPKYJQBWNGO,True,True,drugmatrix_liver
GSM1392194,S020624-264_PANTOPRAZOLE_1100 mg/kg_ORAL GAVAGE_WATER_5 d_Male_94112.CEL,Pantoprazole,1100 mg/kg,5 d,Water,Liver,False,IQPSEEYGBUAQFF,True,True,drugmatrix_liver
GSM1392195,S021021-208_MEGESTROL ACETATE_132 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94113.CEL,Megestrol Acetate,132 mg/kg,1 d,CMC,Liver,False,RQZAXGRLVPAYTJ,True,True,drugmatrix_liver
GSM1392196,S020513-258_OXFENDAZOLE_1500 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94114.CEL,Oxfendazole,1500 mg/kg,1 d,CMC,Liver,False,BEZZFPOZAYTVHN,True,True,drugmatrix_liver
GSM1392197,S020617-359_OXYTETRACYCLINE_1500 mg/kg_ORAL GAVAGE_WATER_5 d_Male_94115.CEL,Oxytetracycline,1500 mg/kg,5 d,Water,Liver,False,OWFJMIVZYSDULZ,True,False,drugmatrix_liver
GSM1392198,S020506-024_ORAL GAVAGE_CMC_5 d_Male_94116.CEL,,0 mg/kg,5 d,CMC,Liver,True,,False,False,drugmatrix_liver
GSM1392199,S020422-119_ESTRIOL_313 mg/kg_ORAL GAVAGE_CMC_5 d_Male_94117.CEL,Estriol,313 mg/kg,5 d,CMC,Liver,False,PROQIPRRNZUXQM,True,True,drugmatrix_liver
GSM1392200,S021007-161_PRIMIDONE_750 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94118.CEL,Primidone,750 mg/kg,1 d,CMC,Liver,False,DQMZLTXERSFNPB,True,True,drugmatrix_liver
GSM1392201,S020408-113_CYPROTERONE ACETATE_2500 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94119.CEL,Cyproterone Acetate,2500 mg/kg,1 d,CMC,Liver,False,UWFYSQMTEOIJJG,True,True,drugmatrix_liver
GSM1392202,S020401-255_OXYMETAZOLINE_0.5 mg/kg_ORAL GAVAGE_WATER_0.25 d_Male_94120.CEL,Oxymetazoline,0.5 mg/kg,0.25 d,Water,Liver,False,WYWIFABBXFUGLM,True,True,drugmatrix_liver
GSM1392203,S020408-229_IDEBENONE_2500 mg/kg_ORAL GAVAGE_CMC_.25 d_Male_94121.CEL,Idebenone,2500 mg/kg,0.25 d,CMC,Liver,False,JGPMMRGNQUBGND,True,True,drugmatrix_liver
GSM1392204,S020624-118_ANASTROZOLE_400 mg/kg_ORAL GAVAGE_CMC_5 d_Male_94122.CEL,Anastrozole,400 mg/kg,5 d,CMC,Liver,False,YBBLVLTVTVSKRW,True,True,drugmatrix_liver
GSM1392205,S020408-086_CLONAZEPAM_2500 mg/kg_ORAL GAVAGE_CMC_.25 d_Male_94123.CEL,Clonazepam,2500 mg/kg,0.25 d,CMC,Liver,False,DGBIGWXXNGSACT,True,False,drugmatrix_liver
GSM1392206,S020401-257_OXYMETAZOLINE_0.5 mg/kg_ORAL GAVAGE_WATER_1 d_Male_94124.CEL,Oxymetazoline,0.5 mg/kg,1 d,Water,Liver,False,WYWIFABBXFUGLM,True,True,drugmatrix_liver
GSM1392207,S020513-116_AMINOGLUTETHIMIDE_350 mg/kg_ORAL GAVAGE_CMC_3 d_Male_94125.CEL,Aminoglutethimide,350 mg/kg,3 d,CMC,Liver,False,ROBVIMPUHSLWNV,True,True,drugmatrix_liver
GSM1392208,S020408-116_CYPROTERONE ACETATE_2500 mg/kg_ORAL GAVAGE_CMC_3 d_Male_94126.CEL,Cyproterone Acetate,2500 mg/kg,3 d,CMC,Liver,False,UWFYSQMTEOIJJG,True,True,drugmatrix_liver
GSM1392209,S020624-117_ANASTROZOLE_400 mg/kg_ORAL GAVAGE_CMC_3 d_Male_94127.CEL,Anastrozole,400 mg/kg,3 d,CMC,Liver,False,YBBLVLTVTVSKRW,True,True,drugmatrix_liver
GSM1392210,S021021-216_MEGESTROL ACETATE_132 mg/kg_ORAL GAVAGE_CMC_5 d_Male_94128.CEL,Megestrol Acetate,132 mg/kg,5 d,CMC,Liver,False,RQZAXGRLVPAYTJ,True,True,drugmatrix_liver
GSM1392211,S021007-234_TROPISETRON_100 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94129.CEL,Tropisetron,100 mg/kg,1 d,CMC,Liver,False,ZNRGQMMCGHDTEI,True,True,drugmatrix_liver
GSM1392212,S020520-280_CARBIMAZOLE_400 mg/kg_ORAL GAVAGE_WATER_1 d_Male_94130.CEL,Carbimazole,400 mg/kg,1 d,Water,Liver,False,CFOYWRHIYXMDOT,True,True,drugmatrix_liver
GSM1392213,S020617-178_MESTRANOL_250 mg/kg_ORAL GAVAGE_CMC_5 d_Male_94131.CEL,Mestranol,250 mg/kg,5 d,CMC,Liver,False,IMSSROKUHAOUJS,True,True,drugmatrix_liver
GSM1392214,S020624-114_ANASTROZOLE_400 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94132.CEL,Anastrozole,400 mg/kg,1 d,CMC,Liver,False,YBBLVLTVTVSKRW,True,True,drugmatrix_liver
GSM1392215,S020617-173_MESTRANOL_250 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94134.CEL,Mestranol,250 mg/kg,1 d,CMC,Liver,False,IMSSROKUHAOUJS,True,True,drugmatrix_liver
GSM1392216,S020610-115_CLOSANTEL_22 mg/kg_ORAL GAVAGE_CMC_3 d_Male_94135.CEL,Closantel,22 mg/kg,3 d,CMC,Liver,False,JMPFSEBWVLAJKM,True,True,drugmatrix_liver
GSM1392217,S020408-006_ORAL GAVAGE_CMC_.25 d_Male_94136.CEL,,0 mg/kg,0.25 d,CMC,Liver,True,,False,False,drugmatrix_liver
GSM1392218,S021007-307_RABEPRAZOLE_1024 mg/kg_ORAL GAVAGE_WATER_3 d_Male_94137.CEL,Rabeprazole,1024 mg/kg,3 d,Water,Liver,False,YREYEVIYCVEVJK,True,True,drugmatrix_liver
GSM1392219,S020422-043_2-ACETYLAMINOFLUORENE_30 mg/kg_ORAL GAVAGE_CMC_3 d_Male_94138.CEL,2-Acetylaminofluorene,30 mg/kg,3 d,CMC,Liver,False,CZIHNRWJTSTCEX,True,True,drugmatrix_liver
GSM1392220,S020513-090_PREDNISOLONE_184 mg/kg_ORAL GAVAGE_WATER_1 d_Male_94139.CEL,Prednisolone,184 mg/kg,1 d,Water,Liver,False,OIGNJSKKLXVSLS,True,True,drugmatrix_liver
GSM1392221,S020429-259_17-METHYLTESTOSTERONE_2000 mg/kg_ORAL GAVAGE_CMC_3 d_Male_94140.CEL,17-Methyltestosterone,2000 mg/kg,3 d,CMC,Liver,False,GCKMFJBGXUYNAG,True,True,drugmatrix_liver
GSM1392222,S020617-360_OXYTETRACYCLINE_1500 mg/kg_ORAL GAVAGE_WATER_5 d_Male_94141.CEL,Oxytetracycline,1500 mg/kg,5 d,Water,Liver,False,OWFJMIVZYSDULZ,True,False,drugmatrix_liver
GSM1392223,S020513-117_AMINOGLUTETHIMIDE_350 mg/kg_ORAL GAVAGE_CMC_3 d_Male_94142.CEL,Aminoglutethimide,350 mg/kg,3 d,CMC,Liver,False,ROBVIMPUHSLWNV,True,True,drugmatrix_liver
GSM1392224,S020422-137_LORAZEPAM_2000 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94143.CEL,Lorazepam,2000 mg/kg,1 d,CMC,Liver,False,DIWRORZWFLOCLC,True,True,drugmatrix_liver
GSM1392225,S020506-120_OLANZAPINE_23 mg/kg_ORAL GAVAGE_CMC_5 d_Male_94144.CEL,Olanzapine,23 mg/kg,5 d,CMC,Liver,False,KVWDHTXUZHCGIO,True,True,drugmatrix_liver
GSM1392226,S020408-205_GLIPIZIDE_2500 mg/kg_ORAL GAVAGE_CMC_.25 d_Male_94145.CEL,Glipizide,2500 mg/kg,0.25 d,CMC,Liver,False,ZJJXGWJIGJFDTL,True,True,drugmatrix_liver
GSM1392227,S021007-162_PRIMIDONE_750 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94146.CEL,Primidone,750 mg/kg,1 d,CMC,Liver,False,DQMZLTXERSFNPB,True,True,drugmatrix_liver
GSM1392228,S020429-262_17-METHYLTESTOSTERONE_2000 mg/kg_ORAL GAVAGE_CMC_5 d_Male_94147.CEL,17-Methyltestosterone,2000 mg/kg,5 d,CMC,Liver,False,GCKMFJBGXUYNAG,True,True,drugmatrix_liver
GSM1392229,S020520-281_CARBIMAZOLE_400 mg/kg_ORAL GAVAGE_WATER_1 d_Male_94148.CEL,Carbimazole,400 mg/kg,1 d,Water,Liver,False,CFOYWRHIYXMDOT,True,True,drugmatrix_liver
GSM1392230,S020617-179_MESTRANOL_250 mg/kg_ORAL GAVAGE_CMC_5 d_Male_94149.CEL,Mestranol,250 mg/kg,5 d,CMC,Liver,False,IMSSROKUHAOUJS,True,True,drugmatrix_liver
GSM1392231,S020408-114_CYPROTERONE ACETATE_2500 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94150.CEL,Cyproterone Acetate,2500 mg/kg,1 d,CMC,Liver,False,UWFYSQMTEOIJJG,True,True,drugmatrix_liver
GSM1392232,S020617-119_DIAZEPAM_710 mg/kg_ORAL GAVAGE_CMC_5 d_Male_94151.CEL,Diazepam,710 mg/kg,5 d,CMC,Liver,False,AAOVKJBEBIDNHE,True,True,drugmatrix_liver
GSM1392233,S020422-112_ESTRIOL_313 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94152.CEL,Estriol,313 mg/kg,1 d,CMC,Liver,False,PROQIPRRNZUXQM,True,True,drugmatrix_liver
GSM1392234,S021021-184_FLUDROCORTISONE ACETATE_125 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94153.CEL,Fludrocortisone Acetate,125 mg/kg,1 d,CMC,Liver,False,SYWHXTATXSMDSB,True,False,drugmatrix_liver
GSM1392235,S020520-139_NITRAZEPAM_310 mg/kg_ORAL GAVAGE_CMC_3 d_Male_94154.CEL,Nitrazepam,310 mg/kg,3 d,CMC,Liver,False,KJONHKAYOJNZEC,True,True,drugmatrix_liver
GSM1392236,S020408-117_CYPROTERONE ACETATE_2500 mg/kg_ORAL GAVAGE_CMC_3 d_Male_94155.CEL,Cyproterone Acetate,2500 mg/kg,3 d,CMC,Liver,False,UWFYSQMTEOIJJG,True,True,drugmatrix_liver
GSM1392237,S020422-328_SOTALOL_2000 mg/kg_ORAL GAVAGE_WATER_1 d_Male_94156.CEL,Sotalol,2000 mg/kg,1 d,Water,Liver,False,ZBMZVLHSJCTVON,True,True,drugmatrix_liver
GSM1392238,S020610-116_CLOSANTEL_22 mg/kg_ORAL GAVAGE_CMC_3 d_Male_94157.CEL,Closantel,22 mg/kg,3 d,CMC,Liver,False,JMPFSEBWVLAJKM,True,True,drugmatrix_liver
GSM1392239,S020408-088_CLONAZEPAM_2500 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94158.CEL,Clonazepam,2500 mg/kg,1 d,CMC,Liver,False,DGBIGWXXNGSACT,True,False,drugmatrix_liver
GSM1392240,S020624-119_ANASTROZOLE_400 mg/kg_ORAL GAVAGE_CMC_5 d_Male_94159.CEL,Anastrozole,400 mg/kg,5 d,CMC,Liver,False,YBBLVLTVTVSKRW,True,True,drugmatrix_liver
GSM1392241,S020422-331_SOTALOL_2000 mg/kg_ORAL GAVAGE_WATER_3 d_Male_94160.CEL,Sotalol,2000 mg/kg,3 d,Water,Liver,False,ZBMZVLHSJCTVON,True,True,drugmatrix_liver
GSM1392242,S020422-044_2-ACETYLAMINOFLUORENE_30 mg/kg_ORAL GAVAGE_CMC_3 d_Male_94161.CEL,2-Acetylaminofluorene,30 mg/kg,3 d,CMC,Liver,False,CZIHNRWJTSTCEX,True,True,drugmatrix_liver
GSM1392243,S020617-174_MESTRANOL_250 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94162.CEL,Mestranol,250 mg/kg,1 d,CMC,Liver,False,IMSSROKUHAOUJS,True,True,drugmatrix_liver
GSM1392244,S020506-012_ORAL GAVAGE_CMC_1 d_Male_94163.CEL,,0 mg/kg,1 d,CMC,Liver,True,,False,False,drugmatrix_liver
GSM1392245,S020610-113_CLOSANTEL_22 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94167.CEL,Closantel,22 mg/kg,1 d,CMC,Liver,False,JMPFSEBWVLAJKM,True,True,drugmatrix_liver
GSM1392246,S020422-120_ESTRIOL_313 mg/kg_ORAL GAVAGE_CMC_5 d_Male_94168.CEL,Estriol,313 mg/kg,5 d,CMC,Liver,False,PROQIPRRNZUXQM,True,True,drugmatrix_liver
GSM1392247,S021007-308_RABEPRAZOLE_1024 mg/kg_ORAL GAVAGE_WATER_3 d_Male_94169.CEL,Rabeprazole,1024 mg/kg,3 d,Water,Liver,False,YREYEVIYCVEVJK,True,True,drugmatrix_liver
GSM1392248,S020408-096_CLONAZEPAM_2500 mg/kg_ORAL GAVAGE_CMC_5 d_Male_94170.CEL,Clonazepam,2500 mg/kg,5 d,CMC,Liver,False,DGBIGWXXNGSACT,True,False,drugmatrix_liver
GSM1392249,S020408-087_CLONAZEPAM_2500 mg/kg_ORAL GAVAGE_CMC_.25 d_Male_94171.CEL,Clonazepam,2500 mg/kg,0.25 d,CMC,Liver,False,DGBIGWXXNGSACT,True,False,drugmatrix_liver
GSM1392250,S020610-160_PEMOLINE_70 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94174.CEL,Pemoline,70 mg/kg,1 d,CMC,Liver,False,NRNCYVBFPDDJNE,True,True,drugmatrix_liver
GSM1392251,S020422-006_ORAL GAVAGE_CMC_.25 d_Male_94175.CEL,,0 mg/kg,0.25 d,CMC,Liver,True,,False,False,drugmatrix_liver
GSM1392252,S020429-126_ORAL GAVAGE_WATER_.25 d_Male_94177.CEL,,0 mg/kg,0.25 d,Water,Liver,True,,False,False,drugmatrix_liver
GSM1392253,S020624-112_ANASTROZOLE_400 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94181.CEL,Anastrozole,400 mg/kg,1 d,CMC,Liver,False,YBBLVLTVTVSKRW,True,True,drugmatrix_liver
GSM1392254,S020520-140_NITRAZEPAM_310 mg/kg_ORAL GAVAGE_CMC_3 d_Male_94182.CEL,Nitrazepam,310 mg/kg,3 d,CMC,Liver,False,KJONHKAYOJNZEC,True,True,drugmatrix_liver
GSM1392255,S020422-045_2-ACETYLAMINOFLUORENE_30 mg/kg_ORAL GAVAGE_CMC_3 d_Male_94183.CEL,2-Acetylaminofluorene,30 mg/kg,3 d,CMC,Liver,False,CZIHNRWJTSTCEX,True,True,drugmatrix_liver
GSM1392256,S020422-329_SOTALOL_2000 mg/kg_ORAL GAVAGE_WATER_1 d_Male_94184.CEL,Sotalol,2000 mg/kg,1 d,Water,Liver,False,ZBMZVLHSJCTVON,True,True,drugmatrix_liver
GSM1392257,S020422-312_ORAL GAVAGE_WATER_5 d_Male_94185.CEL,,0 mg/kg,5 d,Water,Liver,True,,False,False,drugmatrix_liver
GSM1392258,S020422-138_LORAZEPAM_2000 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94186.CEL,Lorazepam,2000 mg/kg,1 d,CMC,Liver,False,DIWRORZWFLOCLC,True,True,drugmatrix_liver
GSM1392259,S021021-214_MEGESTROL ACETATE_132 mg/kg_ORAL GAVAGE_CMC_5 d_Male_94187.CEL,Megestrol Acetate,132 mg/kg,5 d,CMC,Liver,False,RQZAXGRLVPAYTJ,True,True,drugmatrix_liver
GSM1392260,S020422-113_ESTRIOL_313 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94188.CEL,Estriol,313 mg/kg,1 d,CMC,Liver,False,PROQIPRRNZUXQM,True,True,drugmatrix_liver
GSM1392261,S020610-114_CLOSANTEL_22 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94189.CEL,Closantel,22 mg/kg,1 d,CMC,Liver,False,JMPFSEBWVLAJKM,True,True,drugmatrix_liver
GSM1392262,S020617-180_MESTRANOL_250 mg/kg_ORAL GAVAGE_CMC_5 d_Male_94190.CEL,Mestranol,250 mg/kg,5 d,CMC,Liver,False,IMSSROKUHAOUJS,True,True,drugmatrix_liver
GSM1392263,S020401-253_OXYMETAZOLINE_0.5 mg/kg_ORAL GAVAGE_WATER_0.25 d_Male_94191.CEL,Oxymetazoline,0.5 mg/kg,0.25 d,Water,Liver,False,WYWIFABBXFUGLM,True,True,drugmatrix_liver
GSM1392264,S021007-232_TROPISETRON_100 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94192.CEL,Tropisetron,100 mg/kg,1 d,CMC,Liver,False,ZNRGQMMCGHDTEI,True,True,drugmatrix_liver
GSM1392265,S020429-263_17-METHYLTESTOSTERONE_2000 mg/kg_ORAL GAVAGE_CMC_5 d_Male_94193.CEL,17-Methyltestosterone,2000 mg/kg,5 d,CMC,Liver,False,GCKMFJBGXUYNAG,True,True,drugmatrix_liver
GSM1392266,S020408-206_GLIPIZIDE_2500 mg/kg_ORAL GAVAGE_CMC_.25 d_Male_94194.CEL,Glipizide,2500 mg/kg,0.25 d,CMC,Liver,False,ZJJXGWJIGJFDTL,True,True,drugmatrix_liver
GSM1392267,S020422-332_SOTALOL_2000 mg/kg_ORAL GAVAGE_WATER_3 d_Male_94195.CEL,Sotalol,2000 mg/kg,3 d,Water,Liver,False,ZBMZVLHSJCTVON,True,True,drugmatrix_liver
GSM1392268,S020422-115_ESTRIOL_313 mg/kg_ORAL GAVAGE_CMC_3 d_Male_94196.CEL,Estriol,313 mg/kg,3 d,CMC,Liver,False,PROQIPRRNZUXQM,True,True,drugmatrix_liver
GSM1392269,S020513-256_OXFENDAZOLE_1500 mg/kg_ORAL GAVAGE_CMC_1 d_Male_94197.CEL,Oxfendazole,1500 mg/kg,1 d,CMC,Liver,False,BEZZFPOZAYTVHN,True,True,drugmatrix_liver
GSM1392270,S020624-262_PANTOPRAZOLE_1100 mg/kg_ORAL GAVAGE_WATER_5 d_Male_94198.CEL,Pantoprazole,1100 mg/kg,5 d,Water,Liver,False,IQPSEEYGBUAQFF,True,True,drugmatrix_liver
GSM1392271,S021021-046_IMATINIB_150 mg/kg_ORAL GAVAGE_WATER_5 d_Male_94229.CEL,Imatinib,150 mg/kg,5 d,Water,Liver,False,KTUFNOKKBVMGRW,True,True,drugmatrix_liver
GSM1392272,S021021-033_IMATINIB_15 mg/kg_ORAL GAVAGE_WATER_3 d_Male_94230.CEL,Imatinib,15 mg/kg,3 d,Water,Liver,False,KTUFNOKKBVMGRW,True,True,drugmatrix_liver
GSM1392273,S021021-029_IMATINIB_15 mg/kg_ORAL GAVAGE_WATER_1 d_Male_94231.CEL,Imatinib,15 mg/kg,1 d,Water,Liver,False,KTUFNOKKBVMGRW,True,True,drugmatrix_liver
GSM1392274,R050419-046_ERLOTINIB_116 mg/kg_ORAL GAVAGE_WATER_5 d_Male_94232.CEL,Erlotinib,116 mg/kg,5 d,Water,Liver,False,AAKJLRGGTJKAMG,True,True,drugmatrix_liver
GSM1392275,R050419-093_MLN-518_212 mg/kg_ORAL GAVAGE_WATER_3 d_Male_94233.CEL,MLN-518,212 mg/kg,3 d,Water,Liver,False,UXXQOJXBIDBUAC,True,True,drugmatrix_liver
GSM1392276,R050419-070_GEFITINIB_116 mg/kg_ORAL GAVAGE_WATER_5 d_Male_94234.CEL,Gefitinib,116 mg/kg,5 d,Water,Liver,False,XGALLCVXEZPNRQ,True,True,drugmatrix_liver
GSM1392277,R050419-033_ERLOTINIB_58 mg/kg_ORAL GAVAGE_WATER_3 d_Male_94235.CEL,Erlotinib,58 mg/kg,3 d,Water,Liver,False,AAKJLRGGTJKAMG,True,True,drugmatrix_liver
GSM1392278,R050419-053_GEFITINIB_58 mg/kg_ORAL GAVAGE_WATER_1 d_Male_94236.CEL,Gefitinib,58 mg/kg,1 d,Water,Liver,False,XGALLCVXEZPNRQ,True,True,drugmatrix_liver
GSM1392279,R050419-065_GEFITINIB_116 mg/kg_ORAL GAVAGE_WATER_1 d_Male_94237.CEL,Gefitinib,116 mg/kg,1 d,Water,Liver,False,XGALLCVXEZPNRQ,True,True,drugmatrix_liver
GSM1392280,S021021-041_IMATINIB_150 mg/kg_ORAL GAVAGE_WATER_1 d_Male_94238.CEL,Imatinib,150 mg/kg,1 d,Water,Liver,False,KTUFNOKKBVMGRW,True,True,drugmatrix_liver
GSM1392281,R050419-077_MLN-518_70 mg/kg_ORAL GAVAGE_WATER_1 d_Male_94239.CEL,MLN-518,70 mg/kg,1 d,Water,Liver,False,UXXQOJXBIDBUAC,True,True,drugmatrix_liver
GSM1392282,R050419-094_MLN-518_212 mg/kg_ORAL GAVAGE_WATER_5 d_Male_94240.CEL,MLN-518,212 mg/kg,5 d,Water,Liver,False,UXXQOJXBIDBUAC,True,True,drugmatrix_liver
GSM1392283,R050419-089_MLN-518_212 mg/kg_ORAL GAVAGE_WATER_1 d_Male_94241.CEL,MLN-518,212 mg/kg,1 d,Water,Liver,False,UXXQOJXBIDBUAC,True,True,drugmatrix_liver
GSM1392284,S021021-034_IMATINIB_15 mg/kg_ORAL GAVAGE_WATER_5 d_Male_94242.CEL,Imatinib,15 mg/kg,5 d,Water,Liver,False,KTUFNOKKBVMGRW,True,True,drugmatrix_liver
GSM1392285,R050419-057_GEFITINIB_58 mg/kg_ORAL GAVAGE_WATER_3 d_Male_94243.CEL,Gefitinib,58 mg/kg,3 d,Water,Liver,False,XGALLCVXEZPNRQ,True,True,drugmatrix_liver
GSM1392286,R050419-069_GEFITINIB_116 mg/kg_ORAL GAVAGE_WATER_3 d_Male_94244.CEL,Gefitinib,116 mg/kg,3 d,Water,Liver,False,XGALLCVXEZPNRQ,True,True,drugmatrix_liver
GSM1392287,R050419-018_ORAL GAVAGE_WATER_3 d_Male_94245.CEL,,0 mg/kg,3 d,Water,Liver,True,,False,False,drugmatrix_liver
GSM1392288,S021021-017_ORAL GAVAGE_WATER_3 d_Male_94246.CEL,,0 mg/kg,3 d,Water,Liver,True,,False,False,drugmatrix_liver
GSM1392289,R050419-081_MLN-518_70 mg/kg_ORAL GAVAGE_WATER_3 d_Male_94247.CEL,MLN-518,70 mg/kg,3 d,Water,Liver,False,UXXQOJXBIDBUAC,True,True,drugmatrix_liver
GSM1392290,R050419-082_MLN-518_70 mg/kg_ORAL GAVAGE_WATER_5 d_Male_94248.CEL,MLN-518,70 mg/kg,5 d,Water,Liver,False,UXXQOJXBIDBUAC,True,True,drugmatrix_liver
GSM1392291,R050419-058_GEFITINIB_58 mg/kg_ORAL GAVAGE_WATER_5 d_Male_94249.CEL,Gefitinib,58 mg/kg,5 d,Water,Liver,False,XGALLCVXEZPNRQ,True,True,drugmatrix_liver
GSM1392292,R050419-045_ERLOTINIB_116 mg/kg_ORAL GAVAGE_WATER_3 d_Male_94250.CEL,Erlotinib,116 mg/kg,3 d,Water,Liver,False,AAKJLRGGTJKAMG,True,True,drugmatrix_liver
GSM1392293,R050419-034_ERLOTINIB_58 mg/kg_ORAL GAVAGE_WATER_5 d_Male_94251.CEL,Erlotinib,58 mg/kg,5 d,Water,Liver,False,AAKJLRGGTJKAMG,True,True,drugmatrix_liver
GSM1392294,R050419-041_ERLOTINIB_116 mg/kg_ORAL GAVAGE_WATER_1 d_Male_94252.CEL,Erlotinib,116 mg/kg,1 d,Water,Liver,False,AAKJLRGGTJKAMG,True,True,drugmatrix_liver
GSM1392295,R050419-009_ORAL GAVAGE_WATER_1 d_Male_94253.CEL,,0 mg/kg,1 d,Water,Liver,True,,False,False,drugmatrix_liver
GSM1392296,S021028-023_ORAL GAVAGE_CMC_5 d_Male_94254.CEL,,0 mg/kg,5 d,CMC,Liver,True,,False,False,drugmatrix_liver
GSM1392297,R050419-035_ERLOTINIB_58 mg/kg_ORAL GAVAGE_WATER_5 d_Male_94255.CEL,Erlotinib,58 mg/kg,5 d,Water,Liver,False,AAKJLRGGTJKAMG,True,True,drugmatrix_liver
GSM1392298,R050419-043_ERLOTINIB_116 mg/kg_ORAL GAVAGE_WATER_3 d_Male_94256.CEL,Erlotinib,116 mg/kg,3 d,Water,Liver,False,AAKJLRGGTJKAMG,True,True,drugmatrix_liver
GSM1392299,R050419-059_GEFITINIB_58 mg/kg_ORAL GAVAGE_WATER_5 d_Male_94257.CEL,Gefitinib,58 mg/kg,5 d,Water,Liver,False,XGALLCVXEZPNRQ,True,True,drugmatrix_liver
GSM1392300,R050419-021_ORAL GAVAGE_WATER_5 d_Male_94258.CEL,,0 mg/kg,5 d,Water,Liver,True,,False,False,drugmatrix_liver
GSM1392301,S021021-030_IMATINIB_15 mg/kg_ORAL GAVAGE_WATER_1 d_Male_94259.CEL,Imatinib,15 mg/kg,1 d,Water,Liver,False,KTUFNOKKBVMGRW,True,True,drugmatrix_liver
GSM1392302,R050419-090_MLN-518_212 mg/kg_ORAL GAVAGE_WATER_1 d_Male_94260.CEL,MLN-518,212 mg/kg,1 d,Water,Liver,False,UXXQOJXBIDBUAC,True,True,drugmatrix_liver
GSM1392303,R050419-055_GEFITINIB_58 mg/kg_ORAL GAVAGE_WATER_3 d_Male_94261.CEL,Gefitinib,58 mg/kg,3 d,Water,Liver,False,XGALLCVXEZPNRQ,True,True,drugmatrix_liver
GSM1392304,R050419-071_GEFITINIB_116 mg/kg_ORAL GAVAGE_WATER_5 d_Male_94262.CEL,Gefitinib,116 mg/kg,5 d,Water,Liver,False,XGALLCVXEZPNRQ,True,True,drugmatrix_liver
GSM1392305,R050419-042_ERLOTINIB_116 mg/kg_ORAL GAVAGE_WATER_1 d_Male_94263.CEL,Erlotinib,116 mg/kg,1 d,Water,Liver,False,AAKJLRGGTJKAMG,True,True,drugmatrix_liver
GSM1392306,R050419-066_GEFITINIB_116 mg/kg_ORAL GAVAGE_WATER_1 d_Male_94264.CEL,Gefitinib,116 mg/kg,1 d,Water,Liver,False,XGALLCVXEZPNRQ,True,True,drugmatrix_liver
GSM1392307,R050419-079_MLN-518_70 mg/kg_ORAL GAVAGE_WATER_3 d_Male_94265.CEL,MLN-518,70 mg/kg,3 d,Water,Liver,False,UXXQOJXBIDBUAC,True,True,drugmatrix_liver
GSM1392308,R050419-067_GEFITINIB_116 mg/kg_ORAL GAVAGE_WATER_3 d_Male_94266.CEL,Gefitinib,116 mg/kg,3 d,Water,Liver,False,XGALLCVXEZPNRQ,True,True,drugmatrix_liver
GSM1392309,R050419-030_ERLOTINIB_58 mg/kg_ORAL GAVAGE_WATER_1 d_Male_94267.CEL,Erlotinib,58 mg/kg,1 d,Water,Liver,False,AAKJLRGGTJKAMG,True,True,drugmatrix_liver
