sample,title,compound,dose,time,vehicle,tissue,is_control,connectivity,in_cohort,in_labelled,dataset
GSM1393907,S020401-165_ZILEUTON_450 mg/kg_ORAL GAVAGE_CORN OIL_3 d_Male_96546.CEL,Zileuton,450 mg/kg,3 d,Corn Oil,Liver,False,MWLSOWXNZPKENC,True,True,drugmatrix_liver
GSM1393908,S020108-095_MITOMYCIN C_1.7 mg/kg_INTRAVENOUS_SALINE_5 d_Male_96547.CEL,Mitomycin C,1.7 mg/kg,5 d,Saline,Liver,False,NWIBSHFKIJFRCO,True,True,drugmatrix_liver
GSM1393909,S020115-217_PHENOBARBITAL_25 mg/kg_ORAL GAVAGE_WATER_.25 d_Male_96548.CEL,Phenobarbital,25 mg/kg,0.25 d,Water,Liver,False,DDBREPKUVSBGFI,True,True,drugmatrix_liver
GSM1393910,S020610-358_SALICYLIC ACID_223 mg/kg_SUBCUTANEOUS_CORN OIL_5 d_Male_96549.CEL,Salicylic Acid,223 mg/kg,5 d,Corn Oil,Liver,False,YGSDEFSMJLZEOE,True,True,drugmatrix_liver
GSM1393911,S020610-257_BETAMETHASONE_79 mg/kg_SUBCUTANEOUS_CORN OIL_1 d_Male_96550.CEL,Betamethasone,79 mg/kg,1 d,Corn Oil,Liver,False,UREBDLICKHMUKA,True,True,drugmatrix_liver
GSM1393912,S020108-091_MITOMYCIN C_1.7 mg/kg_INTRAVENOUS_SALINE_3 d_Male_96551.CEL,Mitomycin C,1.7 mg/kg,3 d,Saline,Liver,False,NWIBSHFKIJFRCO,True,True,drugmatrix_liver
GSM1393913,S020108-083_MITOMYCIN C_0.5 mg/kg_INTRAVENOUS_SALINE_5 d_Male_96552.CEL,Mitomycin C,0.5 mg/kg,5 d,Saline,Liver,False,NWIBSHFKIJFRCO,True,True,drugmatrix_liver
GSM1393914,S020923-091_STREPTOZOTOCIN_138 mg/kg_INTRAVENOUS_SALINE_3 d_Male_96553.CEL,Streptozotocin,138 mg/kg,3 d,Saline,Liver,False,ZSJLQEPLLKMAKR,True,True,drugmatrix_liver
GSM1393915,S011211-277_PROCARBAZINE_54 mg/kg_ORAL GAVAGE_WATER_.25 d_Male_96554.CEL,Procarbazine,54 mg/kg,0.25 d,Water,Liver,False,CPTBDICYNRMXFX,True,True,drugmatrix_liver
GSM1393916,S020115-218_PHENOBARBITAL_25 mg/kg_ORAL GAVAGE_WATER_.25 d_Male_96555.CEL,Phenobarbital,25 mg/kg,0.25 d,Water,Liver,False,DDBREPKUVSBGFI,True,True,drugmatrix_liver
GSM1393917,S020108-096_MITOMYCIN C_1.7 mg/kg_INTRAVENOUS_SALINE_5 d_Male_96556.CEL,Mitomycin C,1.7 mg/kg,5 d,Saline,Liver,False,NWIBSHFKIJFRCO,True,True,drugmatrix_liver
GSM1393918,S020610-258_BETAMETHASONE_79 mg/kg_SUBCUTANEOUS_CORN OIL_1 d_Male_96557.CEL,Betamethasone,79 mg/kg,1 d,Corn Oil,Liver,False,UREBDLICKHMUKA,True,True,drugmatrix_liver
GSM1393919,S020506-237_NORETHINDRONE ACETATE_125 mg/kg_ORAL GAVAGE_CORN OIL_3 d_Male_96558.CEL,Norethindrone Acetate,125 mg/kg,3 d,Corn Oil,Liver,False,IMONTRJLAWHYGT,True,True,drugmatrix_liver
GSM1393920,S020610-259_BETAMETHASONE_79 mg/kg_SUBCUTANEOUS_CORN OIL_3 d_Male_96559.CEL,Betamethasone,79 mg/kg,3 d,Corn Oil,Liver,False,UREBDLICKHMUKA,True,True,drugmatrix_liver
GSM1393921,S020610-359_SALICYLIC ACID_223 mg/kg_SUBCUTANEOUS_CORN OIL_5 d_Male_96560.CEL,Salicylic Acid,223 mg/kg,5 d,Corn Oil,Liver,False,YGSDEFSMJLZEOE,True,True,drugmatrix_liver
