head,structure_AUC,fusion_AUC,macro_dAUC,SR_structure,SR_fusion,SR_dAUC
logistic (Baseline1),0.7547,0.7638,0.0091,0.6891,0.7153,0.0262
GBM (Baseline2),0.7328,0.7229,-0.0099,0.6702,0.6541,-0.0161
